id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
19239437;Conforto e simplicidade -sinta-se em casa!;292870;Tânia;;Laranjeiras;-22.93576392;-43.18789018;Entire home/apt;300;2;1;16/02/2018;0.13;2;178
14083168;excelente apartamento super localizado olimpíadas;76794262;Ernesto;;Laranjeiras;-22.93434504;-43.18565182;Entire home/apt;999;2;0;;;1;364
2989410;Wonderful apartment in Rio;12674619;Any;;Laranjeiras;-22.93667956;-43.18159245;Entire home/apt;398;60;0;;;2;358
14283407;Excelente Apartamento para temporada Olímpica 2016;87164354;Lucas;;Laranjeiras;-22.93487414;-43.18920994;Entire home/apt;1499;2;0;;;1;364
10074333;Gratitude's Room at Santa Teresa RJ;5090368;Amala;;Santa Teresa;-22.91807499;-43.18582813;Private room;86;3;4;4/06/2018;0.15;1;363
2440571;TEMPORADA -  WORLDCUP 2014;12322403;Maria Cristina;;Laranjeiras;-22.93710116;-43.19019831;Entire home/apt;451;1;0;;;1;365
28432690;Quarto duplo com banheiro privativo no RJ;11538639;Marcele;;Santa Teresa;-22.92053773;-43.18730213;Private room;150;1;0;;;1;91
13710591;Avenida Atlântica, 11th floor;80055146;Leandro;;Leme;-22.96480901;-43.17028864;Entire home/apt;3568;1;1;13/01/2017;0.04;1;175
20934821;Quarto em condomínio de luxo Barra da Tijuca;97694942;Alex;;Barra da Tijuca;-22.97385105;-43.38937647;Private room;184;1;6;20/08/2018;0.47;2;362
19382717;Quarto 2;135569292;Sueleide;;Barra da Tijuca;-22.97402928;-43.39227454;Private room;120;3;2;27/05/2018;0.16;2;365
18354334;Quarto (2 pax) | Apto em frente ao Parque Olímpico;95758714;Tiago;;Barra da Tijuca;-22.97320106;-43.39203389;Private room;150;1;5;28/05/2018;0.38;2;346
13836860;APARTAMENTO DENTRO DA REGIÃO OLÍMPICA DA BARRA;81626361;Luiz;;Jacarepaguá;-22.96955613;-43.39299926;Entire home/apt;890;7;0;;;1;89
9572973;Quarto Casal Lindo Zen/ Zen Room;24663883;Fabiana;;Flamengo;-22.93269785;-43.1766105;Private room;94;3;2;13/02/2016;0.06;4;363
4247389;Quarto Privativo Somente Mulher RJ;7195997;Ana;;Flamengo;-22.93170806;-43.17514257;Private room;79;5;0;;;6;362
5260848;Rústico 2 quartos no Flamengo;26472622;Luciano;;Catete;-22.92947066;-43.17732291;Entire home/apt;500;2;0;;;2;364
12000376;Quarto no Flamengo;50545933;Sule;;Flamengo;-22.92867629;-43.1747588;Private room;75;120;0;;;1;365
